Accession,Ploidy,Prop_Msi
JY062,2x,0.002
RU2012-163,2x,0.003
RU2012-079,2x,0
JY251,2x,0.001
JY004,2x,0
RU2012-168,2x,0.007
KMS326,2x,0.002
JY194,2x,0.003
KMS411,4x,0.085
JY028,2x,0
JY267,2x,0
RU2012-067,2x,0
JY252,2x,0
KMS361,2x,0.267
RU2012-135,2x,0.005
RU2012-132,2x,0.006
KMS382,2x,0
JY292,2x,0
JMNaganumaFSC,4x,0.002
RU2012-201,2x,0.005
JY090,2x,0.003
KMS398,2x,0
RU2012-203,2x,0.001
RU2012-215,2x,0.006
RU2012-101,2x,0.002
JY025,2x,0
JY279,2x,0
RU2012-167,2x,0.003
RU2012-143,2x,0.007
RU2012-075,2x,0.011
RU2012-200,2x,0.001
JY274,2x,0.001
RU2012-035,2x,0
RU2012-031,2x,0.002
JM2014-H-6,4x,0
JM11-024-1,4x,0.001
JM11-024-2,4x,0.094
Blank-EBI-Japan-8,,
blank-RU2012-lib1,,
RU2012-056.1,4x,0
UI11-00034,4x,0
blank-RU2012-lib2,,
KMS393,4x,0.008
KMS397,4x,0.043
JM2014-H-45,4x,0.019
KMS275,4x,0.008
blank-Miscan44,,
JY005,3x,
KMS409,4x,0.045
JM2014-H-53,4x,0
blank-Miscan45,,
JM2014-H-60,4x,0.001
JY136,4x,0.001
JY146,4x,0.007
JY149,4x,0.001
KMS434-47,4x,0.033
KMS437,4x,0
blank-Miscan46,,
KMS454-66,2x,0.256
JM2014-M-6,4x,0.012
blank-Miscan47,,
JM2014-M-10,4x,0.019
JM2014-M-13,4x,0.017
KMS352,4x,0.02
blank-Miscan48,,
JMKamishoN24,4x,0
JMTomatoN24,4x,0
JM2014-H-17,,
JM2014-H-21,4x,0.002
KMS387,4x,0.002
JY117,,
JY144,4x,0
blank-Miscan49,,
JY243,,
JY306,,
JY320,,
JY329,,
KMS340,4x,0.018
KMS342,4x,0.017
KMS410,4x,0.038
JM2014-H-7,4x,0.001
JY003,#N/A,
JY020,#N/A,
JY153,#N/A,
JY242,#N/A,
JY001,2x,0
JY330,,
blank,,
